sample_set,from,to,presence
4_2,dark wood,apricot,0
4_2,dark wood,tropical,0
4_2,dark wood,woody,1
4_2,dark wood,dark wood,1
4_2,dark wood,smoky,1
4_2,dark wood,meaty,0
4_2,dark wood,mushroom,0
4_2,dark wood,moss,0
4_2,dark wood,putrid,0
4_2,dark wood,over-fermented,0
4_2,dark wood,off-flavors,0
4_2,dark wood,over ripe,0
4_2,dark wood,acetic,0
4_2,dark wood,mineral,0
4_2,smoky,fresh fruit,0
4_2,smoky,cherry / plum,0
4_2,smoky,apricot,0
4_2,smoky,tropical,0
4_2,smoky,woody,1
4_2,smoky,dark wood,1
4_2,smoky,smoky,1
4_2,smoky,meaty,0
4_2,smoky,mushroom,0
4_2,smoky,moss,0
4_2,smoky,putrid,0
4_2,smoky,over-fermented,0
4_2,smoky,off-flavors,0
4_2,smoky,over ripe,0
4_2,smoky,acetic,0
4_2,smoky,mineral,0
4_2,meaty,fresh fruit,0
4_2,meaty,cherry / plum,0
4_2,meaty,apricot,0
4_2,meaty,tropical,0
4_2,meaty,woody,0
4_2,meaty,dark wood,0
4_2,meaty,smoky,0
4_2,meaty,meaty,1
4_2,meaty,mushroom,1
4_2,meaty,moss,1
4_2,meaty,putrid,0
4_2,meaty,over-fermented,0
4_2,meaty,off-flavors,0
4_2,meaty,over ripe,0
4_2,meaty,acetic,0
4_2,meaty,mineral,0
4_2,mushroom,fresh fruit,0
4_2,mushroom,cherry / plum,0
4_2,mushroom,apricot,0
4_2,mushroom,tropical,0
4_2,mushroom,woody,0
4_2,mushroom,dark wood,0
4_2,mushroom,smoky,0
4_2,mushroom,meaty,1
4_2,mushroom,mushroom,1
4_2,mushroom,moss,1
4_2,mushroom,putrid,0
4_2,mushroom,over-fermented,0
4_2,mushroom,off-flavors,0
4_2,mushroom,over ripe,0
